Actor/Name/IndicatorMissilePhaseChange,Indicator Missile Phase Change=0
Actor/Name/TerrainMgr,Terrain Mgr=1
Alert/Name/AddOnComplete,AddOnComplete=2
Alert/Name/AmmoComplete,AmmoComplete=3
Alert/Name/AttackTown,AttackTown=4
Alert/Name/AttackTownAlly,AttackTownAlly=5
Alert/Name/AttackUnit,AttackUnit=6
Alert/Name/AttackUnitAlly,AttackUnitAlly=7
Alert/Name/BuildComplete,BuildComplete=8
Alert/Name/CalldownLaunch,CalldownLaunch=9
Alert/Name/MergeComplete,MergeComplete=10
Alert/Name/MorphComplete,MorphComplete=11
Alert/Name/ResourceDepleted_Mineral,ResourceDepleted_Mineral=12
Alert/Name/ResourceDepleted_Vespene,ResourceDepleted_Vespene=13
Alert/Name/ResourceDowntime_Vespene,ResourceDowntime_Vespene=14
Alert/Name/ResourceExhausted_Mineral,ResourceExhausted_Mineral=15
Alert/Name/ResourcesReceived,ResourcesReceived=16
Alert/Name/ResourcesSent,ResourcesSent=17
Alert/Name/SpecializeComplete,SpecializeComplete=18
Alert/Name/TrainComplete,TrainComplete=19
Alert/Name/TrainError,TrainError=20
Alert/Name/TrainWorkerComplete,TrainWorkerComplete=21
Alert/Name/UpgradeComplete,UpgradeComplete=22
Alert/Name/WarpTrainComplete,WarpTrainComplete=23
ConversationState/Name/CConversationState,CConversationState=24
Game/Name/Dflt,Default SC2 Gameplay Settings=25
GameUI/Name/Dflt,Default SC2 UI Settings=26
Light/Name/GlueBackground,Glue Background=27
Light/Name/MainMenuSwarm,Main Menu Swarm=28
Model/Name/AOEPreTargetGroundUnitProtoss,AOE Pre Target Ground Unit Protoss=29
Model/Name/Doodad,Doodad=30
Mover/Name/Ground,Ground=31
Mover/Name/MissileDefault,Missile Default=32
Sound/Name/Interactive,Interactive=33
Sound/Name/SM,SM=34
Sound/Name/TV,TV=35
Validator/Name/OnCreep,On Creep=36
Validator/Name/TargetIsVisible,Target Is Visible=37
Water/Name/BraxisAlpha,Braxis Alpha=38
Water/Name/Char,Char=39
Water/Name/Korhal,Korhal=40
Water/Name/Shakuras,Shakuras=41
Water/Name/Tarsonis,Tarsonis=42
Water/Name/Xil,Xil=43
Abil/EditorPrefix/250mmStrikeCannons,Thor -=44
Abil/EditorPrefix/ArchonWarp,Hoher Templer -=45
Abil/EditorPrefix/ArmSiloWithNuke,Ghost-Akademie=46
Abil/EditorPrefix/ArmoryResearch,Arsenal -=47
Abil/EditorPrefix/AssaultMode,Viking -=48
Abil/EditorPrefix/BansheeCloak,Banshee -=49
Abil/EditorPrefix/BarracksAddOns,Kaserne -=50
Abil/EditorPrefix/BarracksLand,Kaserne -=51
Abil/EditorPrefix/BarracksLiftOff,Kaserne -=52
Abil/EditorPrefix/BarracksTrain,Kaserne -=53
Abil/EditorPrefix/Blink,Hetzer -=54
Abil/EditorPrefix/BroodLordHangar,Brutlord -=55
Abil/EditorPrefix/BroodLordQueue2,Brutlord -=56
Abil/EditorPrefix/BuildAutoTurret,Raven -=57
Abil/EditorPrefix/BuildNydusCanal,Nydusnetzwerk -=58
Abil/EditorPrefix/BunkerTransport,Bunker -=59
Abil/EditorPrefix/BurrowBanelingDown,Berstling -=60
Abil/EditorPrefix/BurrowBanelingUp,Berstling -=61
Abil/EditorPrefix/BurrowCreepTumorDown,Kriecherkolonie -=62
Abil/EditorPrefix/BurrowDroneDown,Drohne -=63
