UI/Hotkey/InventoryButtonUse0,NumPad7=0
UI/Hotkey/InventoryButtonUse0_USD,NumPad7=1
UI/Hotkey/InventoryButtonUse0_USDL,NumPad7=2
UI/Hotkey/InventoryButtonUse1,NumPad8=3
UI/Hotkey/InventoryButtonUse1_USD,NumPad8=4
UI/Hotkey/InventoryButtonUse1_USDL,NumPad8=5
UI/Hotkey/InventoryButtonUse2,NumPad4=6
UI/Hotkey/InventoryButtonUse2_USD,NumPad4=7
UI/Hotkey/InventoryButtonUse2_USDL,NumPad4=8
UI/Hotkey/InventoryButtonUse3,NumPad5=9
UI/Hotkey/InventoryButtonUse3_USD,NumPad5=10
UI/Hotkey/InventoryButtonUse3_USDL,NumPad5=11
UI/Hotkey/InventoryButtonUse4,NumPad1=12
UI/Hotkey/InventoryButtonUse4_USD,NumPad1=13
UI/Hotkey/InventoryButtonUse4_USDL,NumPad1=14
UI/Hotkey/InventoryButtonUse5,NumPad2=15
UI/Hotkey/InventoryButtonUse5_USD,NumPad2=16
UI/Hotkey/InventoryButtonUse5_USDL,NumPad2=17
UI/Hotkey/PTT,Alt+V=18
UI/Hotkey/PTT_USD,Alt+V=19
UI/Hotkey/PTT_USDL,Alt+V=20
Button/Hotkey/Baneling,B=21
Button/Hotkey/BurrowDown,D=22
Button/Hotkey/BurrowDown_NRS,D=23
Button/Hotkey/BurrowDown_SC1,D=24
Button/Hotkey/BurrowDown_USD,D=25
Button/Hotkey/BurrowDown_USDL,D=26
Button/Hotkey/CloakingField,C=27
Button/Hotkey/CloakingField_USD,C=28
Button/Hotkey/CloakingField_USDL,C=29
Button/Hotkey/SpineCrawlerRoot,D=30
Button/Hotkey/SpineCrawlerRoot_NRS,D=31
Button/Hotkey/SpineCrawlerRoot_SC1,D=32
Button/Hotkey/SpineCrawlerRoot_USD,D=33
Button/Hotkey/SpineCrawlerRoot_USDL,D=34
Button/Hotkey/SporeCrawlerRoot,D=35
Button/Hotkey/SporeCrawlerRoot_NRS,D=36
Button/Hotkey/SporeCrawlerRoot_SC1,D=37
Button/Hotkey/SporeCrawlerRoot_USD,D=38
Button/Hotkey/SporeCrawlerRoot_USDL,D=39
UI/Hotkey/WarpIn,=40
Button/Hotkey/BurrowLurkerMP,D=41
Button/Hotkey/BurrowLurkerMP_NRS,D=42
Button/Hotkey/BurrowLurkerMP_USD,D=43
Button/Hotkey/BurrowLurkerMP_USDL,D=44
Button/Hotkey/LurkerBurrowUp_SC1,U=45
Button/Hotkey/SwarmHostBurrowDown,D=46
Button/Hotkey/SwarmHostBurrowDown_NRS,D=47
