Actor/Name/ActorLightOmni,Actor Point Light=0
Actor/Name/ActorLightSpot,Actor light source point=1
Actor/Name/ActorShapeCone,Actuator Cone=2
Actor/Name/ActorShapeSphere,Actor ShapeSphere=3
Actor/Name/AoEAttack,AOE attack=4
Actor/Name/AoEAttackBase,AOE attack base=5
Actor/Name/AoEAttackDamageSite,AOE attack damage site=6
Actor/Name/AoEAttackShieldHitter,AoEAttackShieldHitter=AoEAttackShieldHitter=7
Actor/Name/AoESplashShieldHitter,AOE splash shield hitter=8
Actor/Name/Axis,Axis=9
Actor/Name/Beacon,Beacon=10
Actor/Name/Beam,Ray=11
Actor/Name/BeamAnimationStyleContinuous,Continuous beam animation style=12
Actor/Name/BeamAnimationStyleOneShot,One-time beam animation style=13
Actor/Name/BeamSimple,Simple beam=14
Actor/Name/BeamSimpleAnimationStyleContinuous,Continuous simple beam animation style=15
Actor/Name/BeamSimpleAnimationStyleContinuousClosingFull,Continuous simple beam animation style is completely finished=16
Actor/Name/BeamSimpleAnimationStyleOneShot,One-time simple beam animation style=17
Actor/Name/BeamStandard,Standard Beam=18
Actor/Name/BeamStandardAnimationStyleContinuous,Continuous standard beam animation style=19
Actor/Name/BeamStandardAnimationStyleOneShot,One-shot standard beam animation style=20
Actor/Name/BlipVisual,Blip Visualization=21
Actor/Name/BuffContinuous,Continuous Buff=22
Actor/Name/BuffOneShot,One-time buff=23
Actor/Name/BuildingFlattenTerrainMacro,Building Terrain Flattening Macro=24
Actor/Name/BuildingTerrainFlatten,Building Terrain Flatten=25
Actor/Name/BuildingTerrainFlattenEditor,Building Terrain Flatten Editor=26
Actor/Name/BuildingTerrainFlattenInstant,Building Terrain Flatten Instant=27
Actor/Name/BurrowedSplat,BurrowedSplat=28
Actor/Name/BurrowedSplatBase,Burrowed Splat Base=29
Actor/Name/CActor,Default actor=30
Actor/Name/CActorArc,Default Actor Arc=31
Actor/Name/CActorBase,Default actor base=32
Actor/Name/CActorBeam,Default actor beam=33
Actor/Name/CActorBeamStandard,Default actor standard beam=34
Actor/Name/CActorBearings,Default Actor Bearings=35
Actor/Name/CActorCamera,Default actor camera=36
Actor/Name/CActorDoodad,Default actor decoration=37
Actor/Name/CActorForce,Default actor force=38
Actor/Name/CActorForceSphere,Default calculus sphere force field=39
Actor/Name/CActorLightModel,Default actor light model=40
Actor/Name/CActorLightOmni,Default actor point light=41
Actor/Name/CActorLightSpot,Default actor spotlight light source=42
Actor/Name/CActorLookAt,Default actor lookAt=43
Actor/Name/CActorModel,Default actor model=44
Actor/Name/CActorPortrait,Default actor portrait=45
Actor/Name/CActorPower,Default actor power=46
Actor/Name/CActorProgress,Default actor process=47
Actor/Name/CActorQuad,Default actor quad=48
Actor/Name/CActorRange,Default actor range=49
Actor/Name/CActorSelection,Default actor selection=50
Actor/Name/CActorSetQueried,Default actor setting query=51
Actor/Name/CActorShadow,Default actor shadow=52
Actor/Name/CActorShieldImpact,Default Actor Shield Impact=53
Actor/Name/CActorSite,Default actor site=54
Actor/Name/CActorSiteHosted,Default actor as host site=55
Actor/Name/CActorSiteOpAttach,Default actor attachment position operation=56
Actor/Name/CActorSiteOpBankerUnit,Default actor position data set unit=57
Actor/Name/CActorSiteOpRandomPointInCircle,Default actor point position operation within the circle=58
Actor/Name/CActorSound,Default actor sound effect=59
Actor/Name/CActorSplat,Default actor splash map=60
Actor/Name/CActorSquib,Default actor explosion effect=61
Actor/Name/CActorStateMonitor,Default actor state monitor=62
Actor/Name/CActorTerrainDeformer,Default actor terrain deformer=63
Actor/Name/CActorText,Default actor text=64
Actor/Name/CActorTurret,Default actor turret=65
Actor/Name/CameraTest,Camera Test=66
Actor/Name/CliffLocalFlashingSelection,Cliff Local Flashing Selection=67
Actor/Name/CliffLocalSelection,Cliff Local Selection=68
Actor/Name/CliffPreSelection,Cliff PreSelection=69
Actor/Name/CliffSyncFlashingSelection,Cliff Sync Flashing Selection=70
Actor/Name/CliffSyncSelection,Cliff Sync Selection=71
Actor/Name/CommandUIHarness,Command UI Harness=72
Actor/Name/Confirmation,Confirmation=73
Actor/Name/ConfirmationLocalAir,Local Air Confirmation=74
Actor/Name/ConfirmationLocalAirAttack,Local Air Attack Confirmation=75
Actor/Name/ConfirmationLocalGround,Local ground confirmation=76
Actor/Name/ConfirmationLocalGroundAttack,Local Ground Attack Confirmation=77
Actor/Name/ConfirmationSyncAir,Confirmation over the air=78
Actor/Name/ConfirmationSyncAirAttack,Air attack synchronization confirmation=79
Actor/Name/ConfirmationSyncGround,Ground synchronization confirmation=80
Actor/Name/ConfirmationSyncGroundAttack,Ground Attack Synchronization Confirmation=81
Actor/Name/CursorModel,Pointer Model=82
Actor/Name/CursorRegion,Pointer Region=83
Actor/Name/CursorSplat,CursorSplat=84
Actor/Name/CutsceneCameraModel,Cutscene Camera Model=85
Actor/Name/CutsceneLightOmniModel,Cutscene light point light model=86
Actor/Name/CutsceneLightSpotModel,Cutscene light source model=87
Actor/Name/DeadAnimationMacro,Death animation macro=88
Actor/Name/DeadAnimationRemoveMacro,Death Animation Remove Macro=89
Actor/Name/DestructibleUnitStandard,Standard destructible unit=90
Actor/Name/DoodadDeathMacro,Decorator Death Macro=91
Actor/Name/DoodadDeathMacroB,Decoration death macro=92
Actor/Name/EditorCamera,Editor Camera=93
Actor/Name/EditorHelper,Editor Helper=94
Actor/Name/EditorSelection,Editor selection=95
Actor/Name/EditorUnitOverheadText,Editor unit overhead text=96
Actor/Name/EventCustom,Event Customization=97
Actor/Name/EventFootprint,Event Footprint=98
Actor/Name/EventSound,Event Sound=99
Actor/Name/EventSoundFromData,Event sound effects are taken from data=100
Actor/Name/EventSpawn,Spawn Event=101
Actor/Name/EventSplat,Event Splat=102
Actor/Name/ExplosionAttackDeathImpulse,Explosion Attack Death Impulse=103
Actor/Name/ExplosionAttackForce,Explosion Attack Impact=104
Actor/Name/ExplosiveRangedAttackDeathForce,Explosive Range Attack Death Impact=105
Actor/Name/ExplosiveRangedAttackDeathImpulse,Explosive Range Attack Death Pulse=106
Actor/Name/FlashingSelection,Flashing Selection=107
Actor/Name/FlyerHelperBeam,Flying unit helper beam=108
Actor/Name/FlyerHelperSplat,FlyerHelperSplat=FlyerHelperSplat=109
Actor/Name/FlyerLocalSelection,Flying unit local selection=110
Actor/Name/FlyerPreSelection,Flying unit preselection=111
Actor/Name/FlyerShadow,Flying unit shadow=112
Actor/Name/FlyerSyncSelection,Flying unit synchronization selection=113
Actor/Name/FoliageFXDefault,FoliageFXDefault=114
Actor/Name/FoliageFXSpawnerDefault,Foliage FX Spawner Default=115
Actor/Name/GenericAttack,GenericAttack=116
Actor/Name/GenericAttackBase,GenericAttackBase=117
Actor/Name/GenericAttackBeam,Generic Attack Beam=118
Actor/Name/GenericAttackDamageModel,General attack damage model=119
Actor/Name/GenericAttackDamageModelReaction,General attack damage response model=120
