AUTHENTICATION_BETA_REGION,Beta=0
AUTHENTICATION_CN_REGION,China=1
AUTHENTICATION_EU_REGION,Europa=2
AUTHENTICATION_KR_REGION,Asia=3
AUTHENTICATION_SG_REGION,Sureste de Asia=4
AUTHENTICATION_US_REGION,América=5
Abil/Name/Beacon,Beacon=6
Abil/Name/CAbil,Default Ability (CAbil)=7
Abil/Name/CAbilArmMagazine,Default Ability (CAbilArmMagazine)=8
Abil/Name/CAbilAttack,Default Ability (CAbilAttack)=9
Abil/Name/CAbilAttackModifier,=10
Abil/Name/CAbilAugment,CAbilAugment=11
Abil/Name/CAbilBattery,Default Ability (CAbilBattery)=12
Abil/Name/CAbilBeacon,CAbilBeacon=13
Abil/Name/CAbilBehavior,Default Ability (CAbilBehavior)=14
Abil/Name/CAbilBuild,Default Ability (CAbilBuild)=15
Abil/Name/CAbilBuildable,Default Ability (CAbilBuildable)=16
Abil/Name/CAbilEffect,Default Ability (CAbilEffect)=17
Abil/Name/CAbilEffectInstant,Default Ability (CAbilEffectInstant)=18
Abil/Name/CAbilEffectTarget,Default Ability (CAbilEffectTarget)=19
Abil/Name/CAbilHarvest,Default Ability (CAbilHarvest)=20
Abil/Name/CAbilHeal,Default Ability (CAbilHeal)=21
Abil/Name/CAbilInteract,CAbilInteract=22
Abil/Name/CAbilInventory,Default Ability (CAbilInventory)=23
Abil/Name/CAbilLearn,CAbilLearn=24
Abil/Name/CAbilMerge,Default Ability (CAbilMerge)=25
Abil/Name/CAbilMergeable,Default Ability (CAbilMergeable)=26
Abil/Name/CAbilMorph,Default Ability (CAbilMorph)=27
Abil/Name/CAbilMorphPlacement,Default Ability (CAbilMorphPlacement)=28
Abil/Name/CAbilMove,Default Ability (CAbilMove)=29
Abil/Name/CAbilPawn,CAbilPawn=30
Abil/Name/CAbilProgress,CAbilProgress=31
Abil/Name/CAbilQueue,Default Ability (CAbilQueue)=32
Abil/Name/CAbilQueueable,Default Ability (CAbilQueueable)=33
Abil/Name/CAbilRally,Default Ability (CAbilRally)=34
Abil/Name/CAbilRedirect,CAbilRedirect=35
Abil/Name/CAbilResearch,Default Ability (CAbilResearch)=36
Abil/Name/CAbilRevive,CAbilRevive=37
Abil/Name/CAbilSpecialize,Default Ability (CAbilSpecialize)=38
Abil/Name/CAbilStop,Default Ability (CAbilStop)=39
Abil/Name/CAbilTrain,Default Ability (CAbilTrain)=40
Abil/Name/CAbilTransport,Default Ability (CAbilTransport)=41
Abil/Name/CAbilWarpTrain,Default Ability (CAbilWarpTrain)=42
Abil/Name/CAbilWarpable,Default Ability (CAbilWarpable)=43
Abil/Name/HoldFire,Hold Fire=44
Abil/Name/ReviveSelf,Revive Self=45
Abil/Name/ReviveSelfAtTarget,Revive Self At Target=46
Abil/Name/ReviveSelfOnCreep,Revive Self On Creep=47
Abil/Name/ReviveSelfReplaceTarget,Revive Self Replace Target=48
Abil/Name/Taunt,Taunt=49
Abil/Name/move,Move=50
Abil/Name/stop,Stop=51
Achievement/Category/Challenge,Retos /// Challenges=52
Achievement/Category/Combat,Combate /// Combat=53
Achievement/Category/Exploration,Exploración /// Exploration=54
Achievement/Category/QuickMatch,Partida rápida /// Quick Match=55
Achievement/Category/Skirmish,Escaramuza /// Skirmish=56
Achievement/Name/CAMPAIGN,CAMPAÑA /// CAMPAIGN=57
Achievement/Name/CAchievement,Logro /// CAchievement=58
Achievement/Name/CHALLENGE,RETO /// CHALLENGE=59
Achievement/Name/COMBAT,COMBATE /// COMBAT=60
Achievement/Name/EXPLORATION,EXPLORACIÓN /// EXPLORATION=61
Achievement/Name/QUICKMATCH,PARTIDA RÁPIDA /// QUICKMATCH=62
AchievementTerm/Name/CAchievementTerm,Término de logro /// CAchievementTerm=63
AchievementTerm/Name/CAchievementTermAchievement,Logro de término de logro /// CAchievementTermAchievement=64
AchievementTerm/Name/CAchievementTermGeneric,Término de logro genérico /// CAchievementTermGeneric=65
AchievementTerm/Name/CAchievementTermTime,Tiempo de término de logro /// CAchievementTermTime=66
ActorCheat/ActorDiedNormally,Actor died normally during creation.=67
ActorCheat/ActorInfoDisplayOff,Actor info display off.=68
ActorCheat/ActorInfoDisplayOn,Actor info display on.=69
ActorCheat/ActorInfoDisplayPortraitsOff,Actor info display for portraits off.=70
ActorCheat/ActorInfoDisplayPortraitsOn,Actor info display for portraits on.=71
ActorCheat/ActorNameRequired,Actor name required.=72
ActorCheat/CannotKillScopeFromCheat,Cannot kill this scope from a cheat.=73
ActorCheat/CannotOrphanScopeFromCheat,Cannot orphan this scope from a cheat.=74
ActorCheat/CouldNotCreateActor,Could not create actor.=75
ActorCheat/CouldNotCreateScope,Could not create scope.=76
ActorCheat/CouldNotResolveActor,Could not resolve actor.=77
ActorCheat/CouldNotReturnActor,Could not return actor.=78
ActorCheat/CouldNotReturnActorScope,Could not return actor scope.=79
ActorCheat/ExpectedOverlayLock,Expected 0 or 1 to toggle overlay lock.=80
ActorCheat/ExpectedSendAutoTargeting,Expected 0 or 1 to toggle send auto-targeting.=81
ActorCheat/FXAnimator,FX Animator=82
ActorCheat/HasNoParameters,Has no parameters.=83
ActorCheat/InvalidCatalog,Invalid catalog.=84
ActorCheat/InvalidKey,Invalid key.=85
ActorCheat/InvalidMessage,Invalid message.=86
ActorCheat/InvalidOlderThanAge,Invalid 'older than' age.=87
