AUTHENTICATION_BETA_REGION,Beta /// Beta=0
AUTHENTICATION_CN_REGION,China /// China=1
AUTHENTICATION_EU_REGION,Europa /// Europe=2
AUTHENTICATION_KR_REGION,Asia /// Asia=3
AUTHENTICATION_SG_REGION,Sudeste Asiático /// Southeast Asia=4
AUTHENTICATION_US_REGION,Américas /// Americas=5
Abil/Name/Beacon,Faro=6
Abil/Name/CAbil,Habilidad predeterminada (CHabil)=7
Abil/Name/CAbilArmMagazine,Habilidad predeterminada (CHabilArsenal)=8
Abil/Name/CAbilAttack,Habilidad predeterminada (CHabilAtaque)=9
Abil/Name/CAbilAttackModifier,=10
Abil/Name/CAbilAugment,CAbilAugment=11
Abil/Name/CAbilBattery,Habilidad predeterminada (CHabilBatería)=12
Abil/Name/CAbilBeacon,CAbilBeacon=13
Abil/Name/CAbilBehavior,Habilidad predeterminada (CHabilComportamiento)=14
Abil/Name/CAbilBuild,Habilidad predeterminada (CHabilConstruir)=15
Abil/Name/CAbilBuildable,Habilidad predeterminada (CHabilEdificable)=16
Abil/Name/CAbilEffect,Habilidad predeterminada (CHabilEfecto)=17
Abil/Name/CAbilEffectInstant,Habilidad predeterminada (CHabilEfectoInstante)=18
Abil/Name/CAbilEffectTarget,Habilidad predeterminada (CHabilEfectoObjetivo)=19
Abil/Name/CAbilHarvest,Habilidad predeterminada (CHabilRecolectar)=20
Abil/Name/CAbilHeal,Habilidad predeterminada (CHabilCurar)=21
Abil/Name/CAbilInteract,CAbilInteract=22
Abil/Name/CAbilInventory,Habilidad predeterminada (CHabilInventario)=23
Abil/Name/CAbilLearn,CAbilLearn=24
Abil/Name/CAbilMerge,Habilidad predeterminada (CHabilCombinar)=25
Abil/Name/CAbilMergeable,Habilidad predeterminada (CHabilCombinable)=26
Abil/Name/CAbilMorph,Habilidad predeterminada (CHabilTransformar)=27
Abil/Name/CAbilMorphPlacement,Habilidad predeterminada (CHabilTransformarEmplazamiento)=28
Abil/Name/CAbilMove,Habilidad predeterminada (CHabilMover)=29
Abil/Name/CAbilPawn,CAbilPawn=30
Abil/Name/CAbilProgress,CAbilProgress=31
Abil/Name/CAbilQueue,Habilidad predeterminada (CHabilCola)=32
Abil/Name/CAbilQueueable,Habilidad predeterminada (CHabilEnfilable)=33
Abil/Name/CAbilRally,Habilidad predeterminada (CHabilReunir)=34
Abil/Name/CAbilRedirect,CAbilRedirect=35
Abil/Name/CAbilResearch,Habilidad predeterminada (CHabilInvestigar)=36
Abil/Name/CAbilRevive,CAbilRevive=37
Abil/Name/CAbilSpecialize,Habilidad predeterminada (CHabilEspecializar)=38
Abil/Name/CAbilStop,Habilidad predeterminada (CHabilDetener)=39
Abil/Name/CAbilTrain,Habilidad predeterminada (CHabilEntrenar)=40
Abil/Name/CAbilTransport,Habilidad predeterminada (CHabilTransportar)=41
Abil/Name/CAbilWarpTrain,Habilidad predeterminada (CHabilTransposicionarEntrenar)=42
Abil/Name/CAbilWarpable,Habilidad predeterminada (CHabilTransposicionable)=43
Abil/Name/HoldFire,Alto el fuego=44
Abil/Name/ReviveSelf,Autorevivir=45
Abil/Name/ReviveSelfAtTarget,Autorevivir - En objetivo=46
Abil/Name/ReviveSelfOnCreep,Autorevivir - En talo=47
Abil/Name/ReviveSelfReplaceTarget,Autorevivir - Reemplazar objetivo=48
Abil/Name/Taunt,Provocar=49
Abil/Name/move,Mover /// Move=50
Abil/Name/stop,Detener /// Stop=51
Achievement/Category/Challenge,Desafíos /// Challenges=52
Achievement/Category/Combat,Combate /// Combat=53
Achievement/Category/Exploration,Exploración /// Exploration=54
Achievement/Category/QuickMatch,Partida rápida /// Quick Match=55
Achievement/Category/Skirmish,Escaramuza /// Skirmish=56
Achievement/Name/CAMPAIGN,CAMPAÑA /// CAMPAIGN=57
Achievement/Name/CAchievement,CAchievement /// CAchievement=58
Achievement/Name/CHALLENGE,DESAFÍO /// CHALLENGE=59
Achievement/Name/COMBAT,COMBATE /// COMBAT=60
Achievement/Name/EXPLORATION,EXPLORACIÓN /// EXPLORATION=61
Achievement/Name/QUICKMATCH,PARTIDA RÁPIDA /// QUICKMATCH=62
AchievementTerm/Name/CAchievementTerm,CAchievementTerm /// CAchievementTerm=63
AchievementTerm/Name/CAchievementTermAchievement,CAchievementTermAchievement /// CAchievementTermAchievement=64
AchievementTerm/Name/CAchievementTermGeneric,CAchievementTermGeneric /// CAchievementTermGeneric=65
AchievementTerm/Name/CAchievementTermTime,CAchievementTermTime /// CAchievementTermTime=66
ActorCheat/ActorDiedNormally,El actor murió normalmente durante la creación. /// Actor died normally during creation.=67
ActorCheat/ActorInfoDisplayOff,Visualización de información de actor desactivada. /// Actor info display off.=68
ActorCheat/ActorInfoDisplayOn,Visualización de información de actor activada. /// Actor info display on.=69
ActorCheat/ActorInfoDisplayPortraitsOff,Visualización de información de actor para retratos desactivada. /// Actor info display for portraits off.=70
ActorCheat/ActorInfoDisplayPortraitsOn,Visualización de información de actor para retratos activada. /// Actor info display for portraits on.=71
ActorCheat/ActorNameRequired,Se requiere un nombre de actor. /// Actor name required.=72
ActorCheat/CannotKillScopeFromCheat,No se puede eliminar este alcance con un truco. /// Cannot kill this scope from a cheat.=73
ActorCheat/CannotOrphanScopeFromCheat,No se puede hacer huérfano a este alcance con un truco. /// Cannot orphan this scope from a cheat.=74
ActorCheat/CouldNotCreateActor,No se pudo crear el actor. /// Could not create actor.=75
ActorCheat/CouldNotCreateScope,No se pudo crear el alcance. /// Could not create scope.=76
