Actor/EditorSuffix/GuideVisualQuadSplat,=0
Actor/EditorSuffix/GuideVisualQuadSplatCenter,=1
Actor/EditorSuffix/GuideVisualQuadSplatDown,=2
Actor/EditorSuffix/GuideVisualQuadSplatDownClosest,=3
Actor/EditorSuffix/GuideVisualQuadSplatDownDetached,=4
Actor/EditorSuffix/GuideVisualQuadSplatDownScaled,=5
Actor/EditorSuffix/GuideVisualQuadSplatDownScaledClosest,=6
Actor/EditorSuffix/GuideVisualQuadSplatImpact,=7
Actor/EditorSuffix/GuideVisualQuadSplatLaunch,=8
Actor/EditorSuffix/GuideVisualQuadSplatModel,=9
Actor/EditorSuffix/GuideVisualQuadSplatPerpendicular,=10
Actor/Name/ActorLightOmni,ActorLightOmni=11
Actor/Name/ActorLightSpot,ActorLightSpot=12
Actor/Name/ActorShapeCone,ActorShapeCone=13
Actor/Name/ActorShapeSphere,ActorShapeSphere=14
Actor/Name/AoEAttack,AtaqueAdE=15
Actor/Name/AoEAttackBase,AtaqueAdEBase=16
Actor/Name/AoEAttackDamageSite,AtaqueAdEDañoLugar=17
Actor/Name/AoEAttackShieldHitter,AoEAttackShieldHitter=18
Actor/Name/AoESplashShieldHitter,AtaqueAdESalpicaduraImpactaescudos=19
Actor/Name/Axis,Eje=20
Actor/Name/Beacon,Faro=21
Actor/Name/BeaconArmy,Faro de ejército=22
Actor/Name/BeaconAttack,Faro - Ataque=23
Actor/Name/BeaconAuto,Faro - Automático=24
Actor/Name/BeaconClaim,Faro - Reclamar=25
Actor/Name/BeaconCustom1,Faro - Custom1=26
Actor/Name/BeaconCustom2,Faro - Custom2=27
Actor/Name/BeaconCustom3,Faro - Custom3=28
Actor/Name/BeaconCustom4,Faro - Custom4=29
Actor/Name/BeaconDefend,Faro - Defender=30
Actor/Name/BeaconDetect,Faro - Detectar=31
Actor/Name/BeaconExpand,Faro - Expandir=32
Actor/Name/BeaconHarass,Faro - Hostigar=33
Actor/Name/BeaconIdle,Faro - Inactivo=34
Actor/Name/BeaconRally,Faro - Reunir=35
Actor/Name/BeaconScout,Faro - Explorar=36
Actor/Name/Beacon_Protoss,Beacon_Protoss=37
Actor/Name/Beacon_ProtossSmall,Beacon_ProtossSmall=38
Actor/Name/Beacon_Terran,Beacon_Terran=39
Actor/Name/Beacon_TerranSmall,Beacon_TerranSmall=40
Actor/Name/Beacon_Zerg,Beacon_Zerg=41
Actor/Name/Beacon_ZergSmall,Beacon_ZergSmall=42
Actor/Name/Beam,Rayo=43
Actor/Name/BeamAnimationStyleContinuous,BeamAnimationStyleContinuous=44
Actor/Name/BeamAnimationStyleOneShot,RayoAnimaciónEstiloÚnico=45
Actor/Name/BeamSimple,Rayo simple=46
