Button/Hotkey/Taunt,T=0
Button/Hotkey/Taunt_USD,T=1
Button/Hotkey/Taunt_USDL,T=2
UI/Accept_Hotkey,C=3
UI/Accept_Hotkey_USD,C=4
UI/Accept_Hotkey_USDL,C=5
UI/Apply_Hotkey,A=6
UI/Apply_Hotkey_USD,A=7
UI/Apply_Hotkey_USDL,A=8
UI/Back_Hotkey,I=9
UI/Back_Hotkey_USD,I=10
UI/Back_Hotkey_USDL,I=11
UI/BattleNet_Hotkey,B=12
UI/BattleNet_Hotkey_USD,B=13
UI/BattleNet_Hotkey_USDL,B=14
UI/CampaignPanelContinue_Hotkey,C=15
UI/CampaignPanelContinue_Hotkey_USD,C=16
UI/CampaignPanelContinue_Hotkey_USDL,C=17
UI/CampaignPanelLoad_Hotkey,C=18
UI/CampaignPanelLoad_Hotkey_USD,L=19
UI/CampaignPanelLoad_Hotkey_USDL,L=20
UI/CampaignPanelNewCampaign_Hotkey,N=21
UI/CampaignPanelNewCampaign_Hotkey_USD,N=22
UI/CampaignPanelNewCampaign_Hotkey_USDL,N=23
UI/CampaignPanelTutorial_Hotkey,T=24
UI/CampaignPanelTutorial_Hotkey_USD,T=25
UI/CampaignPanelTutorial_Hotkey_USDL,T=26
UI/Campaign_Hotkey,C=27
UI/Campaign_Hotkey_USD,C=28
UI/Campaign_Hotkey_USDL,C=29
UI/CancelMulti_Hotkey,A=30
UI/CancelMulti_Hotkey_USD,A=31
UI/CancelMulti_Hotkey_USDL,A=32
UI/Cancel_Hotkey,A=33
UI/Cancel_Hotkey_USD,A=34
UI/Cancel_Hotkey_USDL,A=35
UI/ChallengePanelBack_Hotkey,I=36
UI/ChallengePanelBack_Hotkey_USD,I=37
UI/ChallengePanelBack_Hotkey_USDL,I=38
UI/ChallengePanelPlay_Hotkey,P=39
UI/ChallengePanelPlay_Hotkey_USD,P=40
UI/ChallengePanelPlay_Hotkey_USDL,P=41
UI/Challenge_Hotkey,C=42
UI/Challenge_Hotkey_USD,C=43
UI/Challenge_Hotkey_USDL,C=44
UI/Chat_Hotkey,C=45
UI/Chat_Hotkey_USD,C=46
UI/Chat_Hotkey_USDL,C=47
UI/Clan_Hotkey,L=48
UI/Clan_Hotkey_USD,L=49
UI/Clan_Hotkey_USDL,L=50
UI/Close_Hotkey,C=51
UI/Close_Hotkey_USD,C=52
UI/Close_Hotkey_USDL,C=53
UI/Color_Hotkey,L=54
UI/Confirm_Control_Hotkey,S=55
UI/Continue_Hotkey,C=56
UI/Continue_Hotkey_USD,C=57
UI/Continue_Hotkey_USDL,C=58
UI/CreateGame_Hotkey,C=59
UI/CreateGame_Hotkey_USD,C=60
UI/CreateGame_Hotkey_USDL,C=61
UI/Create_Control_Hotkey,C=62
UI/Credits_Hotkey,E=63
UI/Credits_Hotkey_USD,E=64
UI/Credits_Hotkey_USDL,E=65
UI/CustomGame_Hotkey,G=66
UI/CustomGame_Hotkey_USD,G=67
UI/CustomGame_Hotkey_USDL,G=68
UI/DebugMap_Hotkey,D=69
UI/DebugMap_Hotkey_USD,D=70
UI/DebugMap_Hotkey_USDL,D=71
UI/Defaults_Hotkey,D=72
UI/Defaults_Hotkey_USD,D=73
UI/Defaults_Hotkey_USDL,D=74
UI/Delete_Control_Hotkey,D=75
UI/Delete_Hotkey,D=76
UI/Delete_Hotkey_USD,D=77
UI/Delete_Hotkey_USDL,D=78
UI/DropPlayers_Hotkey,D=79
UI/DropPlayers_Hotkey_USD,D=80
UI/DropPlayers_Hotkey_USDL,D=81
UI/ExitDialog_No_Hotkey,N=82
UI/ExitDialog_No_Hotkey_USD,N=83
UI/ExitDialog_No_Hotkey_USDL,N=84
UI/ExitDialog_Yes_Hotkey,S=85
UI/ExitDialog_Yes_Hotkey_USD,S=86
UI/ExitDialog_Yes_Hotkey_USDL,S=87
UI/GameLaunchVersionQueryReplayLoadButton_Hotkey,L=88
UI/GameLaunchVersionQueryReplayLoadButton_Hotkey_USD,L=89
UI/GameLaunchVersionQueryReplayLoadButton_Hotkey_USDL,L=90
UI/GameLaunchVersionQuerySaveLoadButton_Hotkey,L=91
UI/GameLaunchVersionQuerySaveLoadButton_Hotkey_USD,L=92
UI/GameLaunchVersionQuerySaveLoadButton_Hotkey_USDL,L=93
UI/GameLaunchVersionQuerySecondButton_Hotkey,R=94
UI/GameLaunchVersionQueryThirdButton_Hotkey,C=95
UI/GameMenuAbortMission_Hotkey,M=96
UI/GameMenuAbortMission_Hotkey_USD,M=97
UI/GameMenuAbortMission_Hotkey_USDL,M=98
UI/GameMenuAccept_Hotkey,C=99
UI/GameMenuAccept_Hotkey_USD,C=100
UI/GameMenuAccept_Hotkey_USDL,C=101
UI/GameMenuAchievements_Hotkey,I=102
UI/GameMenuCancel_Hotkey,A=103
UI/GameMenuCancel_Hotkey_USD,A=104
UI/GameMenuCancel_Hotkey_USDL,A=105
UI/GameMenuClose_Hotkey,C=106
UI/GameMenuClose_Hotkey_USD,C=107
UI/GameMenuClose_Hotkey_USDL,C=108
UI/GameMenuConvertToReplay_Hotkey,G=109
UI/GameMenuDefault_Hotkey,D=110
UI/GameMenuDefault_Hotkey_USD,D=111
UI/GameMenuDefault_Hotkey_USDL,D=112
UI/GameMenuDelete_Hotkey,D=113
UI/GameMenuDelete_Hotkey_USD,D=114
UI/GameMenuDelete_Hotkey_USDL,D=115
UI/GameMenuEndGame_Hotkey,T=116
UI/GameMenuExitProgram_Hotkey,E=117
UI/GameMenuExitProgram_Hotkey_USD,E=118
UI/GameMenuExitProgram_Hotkey_USDL,E=119
UI/GameMenuGameplay_Hotkey,M=120
UI/GameMenuGameplay_Hotkey_USD,M=121
UI/GameMenuGameplay_Hotkey_USDL,M=122
UI/GameMenuGraphics_Hotkey,G=123
UI/GameMenuGraphics_Hotkey_USD,G=124
UI/GameMenuGraphics_Hotkey_USDL,G=125
UI/GameMenuHotkeys_Hotkey,T=126
UI/GameMenuHotkeys_Hotkey_USD,H=127
UI/GameMenuHotkeys_Hotkey_USDL,H=128
UI/GameMenuInput_Hotkey,U=129
UI/GameMenuLoadLast_Hotkey,H=130
UI/GameMenuLoadLast_Hotkey_USD,H=131
UI/GameMenuLoadLast_Hotkey_USDL,H=132
UI/GameMenuLoad_Hotkey,C=133
