AUTHENTICATION_BETA_REGION,베타 /// Beta=0
AUTHENTICATION_CN_REGION,중국 /// China=1
AUTHENTICATION_EU_REGION,유럽 /// Europe=2
AUTHENTICATION_KR_REGION,아시아 /// Asia=3
AUTHENTICATION_SG_REGION,동남아시아 /// Southeast Asia=4
AUTHENTICATION_US_REGION,아메리카 /// Americas=5
Abil/Name/Beacon,신호소 /// Beacon=6
Abil/Name/CAbil,(기본 능력) /// Default Ability (CAbil)=7
Abil/Name/CAbilArmMagazine,(기본 능력) 탄창 장전 /// Default Ability (CAbilArmMagazine)=8
Abil/Name/CAbilAttack,(기본 능력) 공격 /// Default Ability (CAbilAttack)=9
Abil/Name/CAbilAttackModifier,Default Ability (CAbilAttackModifier)=10
Abil/Name/CAbilAugment,(기본 능력) 증대 /// CAbilAugment=11
Abil/Name/CAbilBattery,(기본 능력) 충전 /// Default Ability (CAbilBattery)=12
Abil/Name/CAbilBeacon,(기본 능력) 신호소 /// CAbilBeacon=13
Abil/Name/CAbilBehavior,(기본 능력) 동작 /// Default Ability (CAbilBehavior)=14
Abil/Name/CAbilBuild,(기본 능력) 건설 /// Default Ability (CAbilBuild)=15
Abil/Name/CAbilBuildable,(기본 능력) 건설 가능 /// Default Ability (CAbilBuildable)=16
Abil/Name/CAbilEffect,(기본 능력) 효과 /// Default Ability (CAbilEffect)=17
Abil/Name/CAbilEffectInstant,(기본 능력) 즉시 효과 /// Default Ability (CAbilEffectInstant)=18
Abil/Name/CAbilEffectTarget,(기본 능력) 효과 대상 /// Default Ability (CAbilEffectTarget)=19
Abil/Name/CAbilHarvest,(기본 능력) 채집 /// Default Ability (CAbilHarvest)=20
Abil/Name/CAbilHeal,(기본 능력) 치료 /// Default Ability (CAbilHeal)=21
Abil/Name/CAbilInteract,(기본 능력) 상호작용 /// CAbilInteract=22
Abil/Name/CAbilInventory,(기본 능력) 가방 /// Default Ability (CAbilInventory)=23
Abil/Name/CAbilLearn,(기본 능력) 배우기 /// CAbilLearn=24
Abil/Name/CAbilMerge,(기본 능력) 합체 /// Default Ability (CAbilMerge)=25
Abil/Name/CAbilMergeable,(기본 능력) 합체 가능 /// Default Ability (CAbilMergeable)=26
Abil/Name/CAbilMorph,(기본 능력) 변태 /// Default Ability (CAbilMorph)=27
Abil/Name/CAbilMorphPlacement,(기본 능력) 변태 배치 /// Default Ability (CAbilMorphPlacement)=28
Abil/Name/CAbilMove,(기본 능력) 이동 /// Default Ability (CAbilMove)=29
Abil/Name/CAbilPawn,(기본 능력) 되팔기 /// CAbilPawn=30
Abil/Name/CAbilProgress,(기본 능력) 진행 /// CAbilProgress=31
Abil/Name/CAbilQueue,(기본 능력) 대기열 /// Default Ability (CAbilQueue)=32
Abil/Name/CAbilQueueable,(기본 능력) 대기 가능 /// Default Ability (CAbilQueueable)=33
Abil/Name/CAbilRally,(기본 능력) 집결 /// Default Ability (CAbilRally)=34
Abil/Name/CAbilRedirect,(기본 능력) 재지정 /// CAbilRedirect=35
Abil/Name/CAbilResearch,(기본 능력) 능력 /// Default Ability (CAbilResearch)=36
Abil/Name/CAbilRevive,(기본 능력) 부활 /// CAbilRevive=37
Abil/Name/CAbilSpecialize,(기본 능력) 전문화 /// Default Ability (CAbilSpecialize)=38
Abil/Name/CAbilStop,(기본 능력) 정지 /// Default Ability (CAbilStop)=39
Abil/Name/CAbilTrain,(기본 능력) 훈련 /// Default Ability (CAbilTrain)=40
Abil/Name/CAbilTransport,(기본 능력) 수송 /// Default Ability (CAbilTransport)=41
Abil/Name/CAbilWarpTrain,(기본 능력) 소환 훈련 /// Default Ability (CAbilWarpTrain)=42
Abil/Name/CAbilWarpable,(기본 능력) 소환 가능 /// Default Ability (CAbilWarpable)=43
Abil/Name/HoldFire,공격 중지 /// Hold Fire=44
Abil/Name/ReviveSelf,자신 부활 /// Revive Self=45
Abil/Name/ReviveSelfAtTarget,자신 부활 대상에 /// Revive Self At Target=46
Abil/Name/ReviveSelfOnCreep,자신 부활 점막 위=47
Abil/Name/ReviveSelfReplaceTarget,자신 부활 대상 바꾸기 /// Revive Self Replace Target=48
Abil/Name/Taunt,도발=49
Abil/Name/move,이동 /// Move=50
Abil/Name/stop,정지 /// Stop=51
Achievement/Category/Challenge,도전 과제 /// Challenges=52
Achievement/Category/Combat,전투 /// Combat=53
Achievement/Category/Exploration,탐험 /// Exploration=54
Achievement/Category/QuickMatch,빠른 대전 /// Quick Match=55
Achievement/Category/Skirmish,접전=56
Achievement/Name/CAMPAIGN,캠페인 /// CAMPAIGN=57
Achievement/Name/CAchievement,(기본 업적) /// CAchievement=58
Achievement/Name/CHALLENGE,도전 과제 /// CHALLENGE=59
Achievement/Name/COMBAT,전투 /// COMBAT=60
Achievement/Name/EXPLORATION,탐험 /// EXPLORATION=61
Achievement/Name/QUICKMATCH,빠른 대전 /// QUICKMATCH=62
AchievementTerm/Name/CAchievementTerm,(기본 업적) 조건 /// CAchievementTerm=63
AchievementTerm/Name/CAchievementTermAchievement,CAchievementTermAchievement /// CAchievementTermAchievement=64
AchievementTerm/Name/CAchievementTermGeneric,CAchievementTermGeneric /// CAchievementTermGeneric=65
AchievementTerm/Name/CAchievementTermTime,(기본 업적) 조건 시간 /// CAchievementTermTime=66
ActorCheat/ActorDiedNormally,행위자가 생성 중에 정상적으로 소멸되었습니다. /// Actor died normally during creation.=67
