Actor/EditorSuffix/GuideVisualQuadSplat,(미사용) /// (Deprecated)=0
Actor/EditorSuffix/GuideVisualQuadSplatCenter,(미사용) /// (Deprecated)=1
Actor/EditorSuffix/GuideVisualQuadSplatDown,(미사용) /// (Deprecated)=2
Actor/EditorSuffix/GuideVisualQuadSplatDownClosest,(미사용) /// (Deprecated)=3
Actor/EditorSuffix/GuideVisualQuadSplatDownDetached,(미사용) /// (Deprecated)=4
Actor/EditorSuffix/GuideVisualQuadSplatDownScaled,(미사용) /// (Deprecated)=5
Actor/EditorSuffix/GuideVisualQuadSplatDownScaledClosest,(미사용) /// (Deprecated)=6
Actor/EditorSuffix/GuideVisualQuadSplatImpact,(미사용) /// (Deprecated)=7
Actor/EditorSuffix/GuideVisualQuadSplatLaunch,(미사용) /// (Deprecated)=8
Actor/EditorSuffix/GuideVisualQuadSplatModel,(미사용) /// (Deprecated)=9
Actor/EditorSuffix/GuideVisualQuadSplatPerpendicular,(미사용) /// (Deprecated)=10
Actor/Name/ActorLightOmni,행위자 조명 다중 /// ActorLightOmni=11
Actor/Name/ActorLightSpot,행위자 조명 지점 /// ActorLightSpot=12
Actor/Name/ActorShapeCone,행위자 모양 원뿔 /// ActorShapeCone=13
Actor/Name/ActorShapeSphere,행위자 모양 구 /// ActorShapeSphere=14
Actor/Name/AoEAttack,범위 공격 /// AoEAttack=15
Actor/Name/AoEAttackBase,범위 공격 기본 /// AoEAttackBase=16
Actor/Name/AoEAttackDamageSite,범위 공격 피해 자리 /// AoEAttackDamageSite=17
Actor/Name/AoEAttackShieldHitter,범위 공격 보호막 타격자 /// AoEAttackShieldHitter=18
Actor/Name/AoESplashShieldHitter,범위 효과 방사 보호막 타격자 /// AoESplashShieldHitter=19
Actor/Name/Axis,축 /// Axis=20
Actor/Name/Beacon,신호소 /// Beacon=21
Actor/Name/BeaconArmy,부대 신호 /// Beacon Army=22
Actor/Name/BeaconAttack,공격 신호 /// Beacon Attack=23
Actor/Name/BeaconAuto,자동 신호 /// Beacon Auto=24
Actor/Name/BeaconClaim,차지 신호 /// Beacon Claim=25
Actor/Name/BeaconCustom1,신호소 사용자 지정 1 /// Beacon Custom1=26
Actor/Name/BeaconCustom2,신호소 사용자 지정 2 /// Beacon Custom2=27
Actor/Name/BeaconCustom3,신호소 사용자 지정 3 /// Beacon Custom3=28
Actor/Name/BeaconCustom4,신호소 사용자 지정 4 /// Beacon Custom4=29
Actor/Name/BeaconDefend,방어 신호 /// Beacon Defend=30
Actor/Name/BeaconDetect,탐지 신호 /// Beacon Detect=31
Actor/Name/BeaconExpand,확장 신호 /// Beacon Expand=32
Actor/Name/BeaconHarass,괴롭히기 신호 /// Beacon Harass=33
Actor/Name/BeaconIdle,대기 신호 /// Beacon Idle=34
Actor/Name/BeaconRally,집결 신호 /// Beacon Rally=35
Actor/Name/BeaconScout,정찰 신호 /// Beacon Scout=36
Actor/Name/Beacon_Protoss,Beacon_Protoss /// Beacon_Protoss=37
Actor/Name/Beacon_ProtossSmall,Beacon_ProtossSmall /// Beacon_ProtossSmall=38
Actor/Name/Beacon_Terran,Beacon_Terran /// Beacon_Terran=39
Actor/Name/Beacon_TerranSmall,Beacon_TerranSmall /// Beacon_TerranSmall=40
Actor/Name/Beacon_Zerg,Beacon_Zerg /// Beacon_Zerg=41
Actor/Name/Beacon_ZergSmall,Beacon_ZergSmall /// Beacon_ZergSmall=42
Actor/Name/Beam,광선 /// Beam=43
Actor/Name/BeamAnimationStyleContinuous,광선 애니메이션 양식 연속 /// BeamAnimationStyleContinuous=44
Actor/Name/BeamAnimationStyleOneShot,광선 애니메이션 양식 반복 없음=45
Actor/Name/BeamSimple,광선 단순 /// Beam Simple=46
Actor/Name/BeamSimpleAnimationStyleContinuous,광선 단순 애니메이션 양식 연속 /// Beam Simple Animation Style Continuous=47
Actor/Name/BeamSimpleAnimationStyleContinuousClosingFull,BeamSimpleAnimationStyleContinuousClosingFull=48
Actor/Name/BeamSimpleAnimationStyleOneShot,광선 단순 애니메이션 양식 단발 /// Beam Simple Animation Style One Shot=49
Actor/Name/BeamStandard,광선 표준 /// Beam Standard=50
Actor/Name/BeamStandardAnimationStyleContinuous,광선 표준 애니메이션 양식 연속 /// Beam Standard Animation Style Continuous=51
Actor/Name/BeamStandardAnimationStyleOneShot,광선 표준 애니메이션 양식 단발 /// Beam Standard Animation Style One Shot=52
Actor/Name/BlipVisual,블립 시각효과 /// BlipVisual=53
Actor/Name/BuffContinuous,강화 효과 연속 /// BuffContinuous=54
Actor/Name/BuffOneShot,강화 효과 반복 없음=55
Actor/Name/BuildingFlattenTerrainMacro,건물 붕괴 지형 매크로 /// Building Flatten Terrain Macro=56
Actor/Name/BuildingTerrainFlatten,건물 지형 붕괴 /// Building Terrain Flatten=57
Actor/Name/BuildingTerrainFlattenEditor,건물 지형 붕괴 편집기 /// Building Terrain Flatten Editor=58
Actor/Name/BuildingTerrainFlattenInstant,건물 지형 붕괴 즉시 /// Building Terrain Flatten Instant=59
Actor/Name/BurrowedSplat,잠복 평면 /// BurrowedSplat=60
Actor/Name/BurrowedSplatBase,잠복 평면 기본 /// BurrowedSplatBase=61
Actor/Name/CActor,(기본 행위자) /// CActor=62
Actor/Name/CActorArc,(기본 행위자) 원호 /// CActorArc=63
Actor/Name/CActorBase,(기본 행위자) 기본 /// CActorBase=64
Actor/Name/CActorBeam,(기본 행위자) 광선 /// CActorBeam=65
Actor/Name/CActorBeamStandard,(기본 행위자) 광선 표준 /// CActorBeamStandard=66
Actor/Name/CActorBearings,(기본 행위자) 방위 /// CActorBearings=67
Actor/Name/CActorCamera,(기본 행위자) 카메라 /// CActorCamera=68
Actor/Name/CActorDoodad,(기본 행위자) 장식물 /// CActorDoodad=69
Actor/Name/CActorForce,(기본 행위자) 힘 /// CActorForce=70
Actor/Name/CActorForceSphere,(기본 행위자) 힘 구 /// CActor Force Sphere=71
Actor/Name/CActorLightModel,(기본 행위자) 조명 모델 /// CActorLightModel=72
Actor/Name/CActorLightOmni,(기본 행위자) 조명 다중 /// CActorLightOmni=73
Actor/Name/CActorLightSpot,(기본 행위자) 조명 지점 /// CActorLightSpot=74
Actor/Name/CActorLookAt,(기본 행위자) 보기 /// CActorLookAt=75
Actor/Name/CActorModel,(기본 행위자) 모델 /// CActorModel=76
Actor/Name/CActorPortrait,(기본 행위자) 초상화 /// CActorPortrait=77
Actor/Name/CActorPower,(기본 행위자) 동력 /// CActorPower=78
Actor/Name/CActorProgress,(기본 행위자) 진행률 /// CActorProgress=79
Actor/Name/CActorQuad,(기본 행위자) 쿼드 /// CActorQuad=80
Actor/Name/CActorRange,(기본 행위자) 범위 /// CActorRange=81
Actor/Name/CActorSelection,(기본 행위자) 선택 /// CActorSelection=82
Actor/Name/CActorSetQueried,(기본 행위자) 질의 설정 /// CActorSetQueried=83
Actor/Name/CActorShadow,(기본 행위자) 그림자 /// CActorShadow=84
Actor/Name/CActorShieldImpact,(기본 행위자) 보호막 충격 /// CActorShieldImpact=85
Actor/Name/CActorSite,(기본 행위자) 자리 /// CActorSite=86
Actor/Name/CActorSiteHosted,(기본 행위자) 자리 호스트됨 /// CActorSiteHosted=87
Actor/Name/CActorSiteOpAttach,(기본 행위자) 자리 연산 부착 /// CActorSiteOpAttach=88
Actor/Name/CActorSiteOpBankerUnit,(기본 행위자) 자리 연산 경사 장치 유닛 /// CActorSiteOpBankerUnit=89
Actor/Name/CActorSiteOpRandomPointInCircle,(기본 행위자) 자리 연산 원 안의 무작위 지점 /// CActorSiteOpRandomPointInCircle=90
Actor/Name/CActorSound,(기본 행위자) 소리 /// CActorSound=91
Actor/Name/CActorSplat,(기본 행위자) 평면 /// CActorSplat=92
Actor/Name/CActorSquib,(기본 행위자) 폭죽 /// CActorSquib=93
Actor/Name/CActorStateMonitor,(기본 행위자) 상태 모니터 /// CActorStateMonitor=94
Actor/Name/CActorTerrainDeformer,(기본 행위자) 지형 변형 /// CActorTerrainDeformer=95
Actor/Name/CActorText,(기본 행위자) 텍스트 /// CActorText=96
Actor/Name/CActorTurret,(기본 행위자) 포탑 /// CActorTurret=97
Actor/Name/CActorUnit,CActorUnit=98
Actor/Name/CameraTest,카메라 시험 /// Camera Test=99
Actor/Name/CliffLocalFlashingSelection,언덕 지역 섬광 선택 /// Cliff Local Flashing Selection=100
Actor/Name/CliffLocalSelection,언덕 지역 선택 /// CliffLocalSelection=101
