AUTHENTICATION_BETA_REGION,Beta /// Beta=0
AUTHENTICATION_CN_REGION,China /// China=1
AUTHENTICATION_EU_REGION,Europa /// Europe=2
AUTHENTICATION_KR_REGION,Ásia /// Asia=3
AUTHENTICATION_SG_REGION,Sudeste da Ásia /// Southeast Asia=4
AUTHENTICATION_US_REGION,Américas /// Americas=5
Abil/Name/Beacon,Sinal=6
Abil/Name/CAbil,Habilidade padrão (CAbil)=7
Abil/Name/CAbilArmMagazine,Habilidade padrão (CRecArsenal)=8
Abil/Name/CAbilAttack,Habilidade padrão (CRecAtacar)=9
Abil/Name/CAbilAttackModifier,=10
Abil/Name/CAbilAugment,CAbilAugment=11
Abil/Name/CAbilBattery,Habilidade padrão (CRecBateria)=12
Abil/Name/CAbilBeacon,CAbilBeacon=13
Abil/Name/CAbilBehavior,Habilidade padrão (CRecComportamento)=14
Abil/Name/CAbilBuild,Habilidade padrão (CRecConstruir)=15
Abil/Name/CAbilBuildable,Habilidade padrão (CRecConstruível)=16
Abil/Name/CAbilEffect,Habilidade padrão (CRecEfeito)=17
Abil/Name/CAbilEffectInstant,Habilidade padrão (CRecEfeitoInstantâneo)=18
Abil/Name/CAbilEffectTarget,Habilidade padrão (CRecEfeitoAlvo)=19
Abil/Name/CAbilHarvest,Habilidade padrão (CRecColetar)=20
Abil/Name/CAbilHeal,Habilidade padrão (CRecCurar)=21
Abil/Name/CAbilInteract,CAbilInteract=22
Abil/Name/CAbilInventory,Habilidade padrão (CRecInventário)=23
Abil/Name/CAbilLearn,CAbilLearn=24
Abil/Name/CAbilMerge,Habilidade padrão (CRecCombinar)=25
Abil/Name/CAbilMergeable,Habilidade padrão (CRecCombinável)=26
Abil/Name/CAbilMorph,Habilidade padrão (CRecTransmutar)=27
Abil/Name/CAbilMorphPlacement,Habilidade padrão (CRecColocaçãoTransmutação)=28
Abil/Name/CAbilMove,Habilidade padrão (CRecMover)=29
Abil/Name/CAbilPawn,CAbilPawn=30
Abil/Name/CAbilProgress,CAbilProgress=31
Abil/Name/CAbilQueue,Habilidade padrão (CRecFila)=32
Abil/Name/CAbilQueueable,Habilidade padrão (CRecEnfileirável)=33
Abil/Name/CAbilRally,Habilidade padrão (CRecEncontro)=34
Abil/Name/CAbilRedirect,CAbilRedirect=35
Abil/Name/CAbilResearch,Habilidade padrão (CRecPesquisa)=36
Abil/Name/CAbilRevive,CAbilRevive=37
Abil/Name/CAbilSpecialize,Habilidade padrão (CRecEspecializar)=38
Abil/Name/CAbilStop,Habilidade padrão (CRecParar)=39
Abil/Name/CAbilTrain,Habilidade padrão (CRecTreinar)=40
Abil/Name/CAbilTransport,Habilidade padrão (CRecTransportar)=41
Abil/Name/CAbilWarpTrain,Habilidade padrão (CRecTransdobrar)=42
Abil/Name/CAbilWarpable,Habilidade padrão (CRecTransdobrável)=43
Abil/Name/HoldFire,Cessar fogo=44
Abil/Name/ReviveSelf,Autorressuscitar=45
Abil/Name/ReviveSelfAtTarget,Autorressuscitar no alvo=46
Abil/Name/ReviveSelfOnCreep,Autorressuscitar sobre gosma=47
Abil/Name/ReviveSelfReplaceTarget,Autorressuscitar Substituir Alvo=48
Abil/Name/Taunt,Provocar=49
Abil/Name/move,Deslocar /// Move=50
Abil/Name/stop,Parar /// Stop=51
Achievement/Category/Challenge,Desafios /// Challenges=52
Achievement/Category/Combat,Combate /// Combat=53
Achievement/Category/Exploration,Exploração /// Exploration=54
Achievement/Category/QuickMatch,Partida Rápida /// Quick Match=55
Achievement/Category/Skirmish,Escaramuça /// Skirmish=56
Achievement/Name/CAMPAIGN,CAMPANHA /// CAMPAIGN=57
Achievement/Name/CAchievement,CAchievement /// CAchievement=58
Achievement/Name/CHALLENGE,DESAFIO /// CHALLENGE=59
Achievement/Name/COMBAT,COMBATE /// COMBAT=60
Achievement/Name/EXPLORATION,EXPLORAÇÃO /// EXPLORATION=61
Achievement/Name/QUICKMATCH,PARTIDA RÁPIDA /// QUICKMATCH=62
AchievementTerm/Name/CAchievementTerm,CAchievementTerm /// CAchievementTerm=63
AchievementTerm/Name/CAchievementTermAchievement,CAchievementTermAchievement /// CAchievementTermAchievement=64
AchievementTerm/Name/CAchievementTermGeneric,CAchievementTermGeneric /// CAchievementTermGeneric=65
AchievementTerm/Name/CAchievementTermTime,CAchievementTermTime /// CAchievementTermTime=66
ActorCheat/ActorDiedNormally,O agente morreu normalmente durante a criação. /// Actor died normally during creation.=67
ActorCheat/ActorInfoDisplayOff,Exibição de informações do agente desligada. /// Actor info display off.=68
ActorCheat/ActorInfoDisplayOn,Exibição de informações do agente ligada. /// Actor info display on.=69
ActorCheat/ActorInfoDisplayPortraitsOff,Exibição de informações do agente para retrato desligada. /// Actor info display for portraits off.=70
ActorCheat/ActorInfoDisplayPortraitsOn,Exibição de informações do agente para retrato ligada. /// Actor info display for portraits on.=71
ActorCheat/ActorNameRequired,Necessário nome do agente. /// Actor name required.=72
ActorCheat/CannotKillScopeFromCheat,Não é possível matar este escopo a partir de um cheat. /// Cannot kill this scope from a cheat.=73
ActorCheat/CannotOrphanScopeFromCheat,Não é possível deixar este escopo órfão a partir de um cheat. /// Cannot orphan this scope from a cheat.=74
ActorCheat/CouldNotCreateActor,Impossível criar agente. /// Could not create actor.=75
ActorCheat/CouldNotCreateScope,Impossível criar escopo. /// Could not create scope.=76
ActorCheat/CouldNotResolveActor,Impossível resolver agente. /// Could not resolve actor.=77
ActorCheat/CouldNotReturnActor,Impossível retornar agente. /// Could not return actor.=78
