Actor/EditorSuffix/GuideVisualQuadSplat,=0
Actor/EditorSuffix/GuideVisualQuadSplatCenter,=1
Actor/EditorSuffix/GuideVisualQuadSplatDown,=2
Actor/EditorSuffix/GuideVisualQuadSplatDownClosest,=3
Actor/EditorSuffix/GuideVisualQuadSplatDownDetached,=4
Actor/EditorSuffix/GuideVisualQuadSplatDownScaled,=5
Actor/EditorSuffix/GuideVisualQuadSplatDownScaledClosest,=6
Actor/EditorSuffix/GuideVisualQuadSplatImpact,=7
Actor/EditorSuffix/GuideVisualQuadSplatLaunch,=8
Actor/EditorSuffix/GuideVisualQuadSplatModel,=9
Actor/EditorSuffix/GuideVisualQuadSplatPerpendicular,=10
Actor/Name/ActorLightOmni,AtorLuzOmni=11
Actor/Name/ActorLightSpot,AtorLuzPonto=12
Actor/Name/ActorShapeCone,AtorFormaCone=13
Actor/Name/ActorShapeSphere,AtorFormaEsfera=14
Actor/Name/AoEAttack,AdEAtacar=15
Actor/Name/AoEAttackBase,AdEAtacarBase=16
Actor/Name/AoEAttackDamageSite,AdEAtacarLocalDanos=17
Actor/Name/AoEAttackShieldHitter,AdEAtacarAgressorEscudo=18
Actor/Name/AoESplashShieldHitter,AdEEspirroAgressorEscudo=19
Actor/Name/Axis,Eixo=20
Actor/Name/Beacon,Sinal=21
Actor/Name/BeaconArmy,Sinalizar para o exército=22
Actor/Name/BeaconAttack,Sinal de ataque=23
Actor/Name/BeaconAuto,Sinal automático=24
Actor/Name/BeaconClaim,Sinal de tomada=25
Actor/Name/BeaconCustom1,Sinal Personalizado1=26
Actor/Name/BeaconCustom2,Sinal Personalizado2=27
Actor/Name/BeaconCustom3,Sinal personalizado3=28
Actor/Name/BeaconCustom4,Sinal personalizado4=29
Actor/Name/BeaconDefend,Sinal de defesa=30
Actor/Name/BeaconDetect,Sinal de detecção=31
Actor/Name/BeaconExpand,Sinal de expansão=32
Actor/Name/BeaconHarass,Sinal de distúrbio=33
Actor/Name/BeaconIdle,Sinal de inatividade=34
Actor/Name/BeaconRally,Sinal de concentração=35
Actor/Name/BeaconScout,Sinal de batedor=36
Actor/Name/Beacon_Protoss,Beacon_Protoss=37
Actor/Name/Beacon_ProtossSmall,Beacon_ProtossSmall=38
Actor/Name/Beacon_Terran,Beacon_Terran=39
Actor/Name/Beacon_TerranSmall,Beacon_TerranSmall=40
Actor/Name/Beacon_Zerg,Beacon_Zerg=41
Actor/Name/Beacon_ZergSmall,Beacon_ZergSmall=42
Actor/Name/Beam,Feixe=43
Actor/Name/BeamAnimationStyleContinuous,FeixeAnimaçãoEstiloContínuo=44
Actor/Name/BeamAnimationStyleOneShot,FeixeAnimaçãoEstiloUmaTentativa=45
Actor/Name/BeamSimple,Feixe simples=46
