RequirementNode/Name/1,1=0
RequirementNode/Name/3,3=1
RequirementNode/Name/8,8=2
Abil/EditorPrefix/ChannelSnipe,Ghost - ///Auto - Copied from enUS Locale=3
Abil/EditorPrefix/LockOnAir,Cyclone - ///Auto - Copied from enUS Locale=4
Abil/EditorPrefix/MorphToSwarmHostBurrowedMP,Swarm Host - ///Auto - Copied from enUS Locale=5
Abil/EditorPrefix/MorphToTransportOverlord,Overlord - ///Auto - Copied from enUS Locale=6
Abil/EditorPrefix/PurificationNovaTargetted,Disruptor - ///Auto - Copied from enUS Locale=7
Abil/EditorPrefix/SpawnLocustsTargeted,Swarm Host - ///Auto - Copied from enUS Locale=8
Abil/EditorPrefix/SpyDrones,Reaper - ///Auto - Copied from enUS Locale=9
Abil/EditorPrefix/TempestDisruptionBlast,Tempest - ///Auto - Copied from enUS Locale=10
Actor/EditorPrefix/BypassArmorDrone,Ghost - ///Auto - Copied from enUS Locale=11
Actor/EditorPrefix/BypassArmorDroneCURange,Ghost - ///Auto - Copied from enUS Locale=12
Actor/EditorPrefix/BypassArmorImpact,Ghost - ///Auto - Copied from enUS Locale=13
Actor/EditorPrefix/BypassArmorLaunchSound,Ghost - ///Auto - Copied from enUS Locale=14
Actor/EditorPrefix/BypassArmorSoundLoop,Ghost - ///Auto - Copied from enUS Locale=15
Actor/EditorPrefix/ReleaseInterceptorsAction,Carrier - ///Auto - Copied from enUS Locale=16
Actor/EditorPrefix/ReleaseInterceptorsMissile,Carrier - ///Auto - Copied from enUS Locale=17
Actor/EditorPrefix/TempestDisruptionBlastCasterUnitChargeUpElectric,Tempest - ///Auto - Copied from enUS Locale=18
Actor/EditorPrefix/TempestDisruptionBlastCasterUnitChargeUpElectricExpire,Tempest - ///Auto - Copied from enUS Locale=19
Actor/EditorPrefix/TempestDisruptionBlastCasterUnitChargeUpElectricExpireModel,Tempest - ///Auto - Copied from enUS Locale=20
Actor/EditorPrefix/TempestDisruptionBlastCasterUnitChargeUpElectricSound,Tempest - ///Auto - Copied from enUS Locale=21
Actor/EditorPrefix/TempestDisruptionBlastCasterUnitChargeUpSound,Tempest - ///Auto - Copied from enUS Locale=22
Actor/EditorPrefix/TempestDisruptionBlastCursorSplat,Tempest - ///Auto - Copied from enUS Locale=23
Actor/EditorPrefix/TempestDisruptionBlastTargetLocationChargeUp,Tempest - ///Auto - Copied from enUS Locale=24
Actor/EditorPrefix/TempestDisruptionBlastTargetLocationChargeUpSplat,Tempest - ///Auto - Copied from enUS Locale=25
Actor/EditorPrefix/TempestDisruptionBlastTargetLocationExpireElectric,Tempest - ///Auto - Copied from enUS Locale=26
Actor/EditorPrefix/TempestDisruptionBlastTargetLocationExpireElectricity,Tempest - ///Auto - Copied from enUS Locale=27
Actor/EditorPrefix/TempestDisruptionBlastTargetLocationExpireElectricitySound,Tempest - ///Auto - Copied from enUS Locale=28
Actor/EditorPrefix/TempestDisruptionBlastTargetUnitDamage,Tempest - ///Auto - Copied from enUS Locale=29
Actor/EditorPrefix/TempestDisruptionBlastTargetUnitStun,Tempest - ///Auto - Copied from enUS Locale=30
Actor/EditorPrefix/Tempest_DisruptionBlastCursorConfirmationSound,Tempest - ///Auto - Copied from enUS Locale=31
Actor/EditorPrefix/Tempest_DisruptionBlast_ChargeStartSound,Tempest - ///Auto - Copied from enUS Locale=32
Actor/EditorPrefix/Tempest_DisruptionBlast_ChargeUpSound,Tempest - ///Auto - Copied from enUS Locale=33
Actor/EditorPrefix/Tempest_DisruptionBlast_ImpactSound,Tempest - ///Auto - Copied from enUS Locale=34
Actor/EditorPrefix/Tempest_DisruptionBlast_StunSoundLoop,Tempest - ///Auto - Copied from enUS Locale=35
Actor/EditorPrefix/Tempest_DisruptionBlast_TargetGlowSound,Tempest - ///Auto - Copied from enUS Locale=36
Actor/EditorPrefix/TerranFlamesBypassArmorDrone,Ghost - ///Auto - Copied from enUS Locale=37
Actor/Name/AdeptDeathRagdoll,Adept Death Ragdoll ///Auto - Copied from enUS Locale=38
