AUTHENTICATION_BETA_REGION,内测或公测 /// Beta=0
AUTHENTICATION_CN_REGION,中国 /// China=1
AUTHENTICATION_EU_REGION,欧洲 /// Europe=2
AUTHENTICATION_KR_REGION,亚洲 /// Asia=3
AUTHENTICATION_SG_REGION,东南亚 /// Southeast Asia=4
AUTHENTICATION_US_REGION,北美洲 /// Americas=5
Abil/Name/Beacon,信标 /// Beacon=6
Abil/Name/CAbil,默认能力(CAbil) /// Default Ability (CAbil)=7
Abil/Name/CAbilArmMagazine,默认能力(CAbilArmMagazine) /// Default Ability (CAbilArmMagazine)=8
Abil/Name/CAbilAttack,默认能力(CAbilAttack) /// Default Ability (CAbilAttack)=9
Abil/Name/CAbilAttackModifier,=10
Abil/Name/CAbilAugment,CAbilAugment /// CAbilAugment=11
Abil/Name/CAbilBattery,默认能力(CAbilBattery) /// Default Ability (CAbilBattery)=12
Abil/Name/CAbilBeacon,CAbilBeacon /// CAbilBeacon=13
Abil/Name/CAbilBehavior,默认能力(CAbilBehavior) /// Default Ability (CAbilBehavior)=14
Abil/Name/CAbilBuild,默认能力(CAbilBuild) /// Default Ability (CAbilBuild)=15
Abil/Name/CAbilBuildable,默认能力(CAbilBuildable) /// Default Ability (CAbilBuildable)=16
Abil/Name/CAbilEffect,默认能力(CAbilEffect) /// Default Ability (CAbilEffect)=17
Abil/Name/CAbilEffectInstant,默认能力(CAbilEffectInstant) /// Default Ability (CAbilEffectInstant)=18
Abil/Name/CAbilEffectTarget,默认能力(CAbilEffectTarget) /// Default Ability (CAbilEffectTarget)=19
Abil/Name/CAbilHarvest,默认能力(CAbilHarvest) /// Default Ability (CAbilHarvest)=20
Abil/Name/CAbilHeal,默认能力(CAbilHeal) /// Default Ability (CAbilHeal)=21
Abil/Name/CAbilInteract,CAbilInteract /// CAbilInteract=22
Abil/Name/CAbilInventory,默认能力(CAbilInventory) /// Default Ability (CAbilInventory)=23
Abil/Name/CAbilLearn,CAbilLearn /// CAbilLearn=24
Abil/Name/CAbilMerge,默认能力(CAbilMerge) /// Default Ability (CAbilMerge)=25
