AUTHENTICATION_BETA_REGION,Beta=0
AUTHENTICATION_CN_REGION,中國=1
AUTHENTICATION_EU_REGION,歐洲 /// Europe=2
AUTHENTICATION_KR_REGION,亞洲 /// Asia=3
AUTHENTICATION_SG_REGION,東南亞=4
AUTHENTICATION_US_REGION,美洲 /// Americas=5
Abil/Name/Beacon,信標 /// Beacon=6
Abil/Name/CAbil,預設技能（CAbil） /// Default Ability (CAbil)=7
Abil/Name/CAbilArmMagazine,預設技能（CAbilArmMagazine） /// Default Ability (CAbilArmMagazine)=8
Abil/Name/CAbilAttack,預設技能（CAbilAttack） /// Default Ability (CAbilAttack)=9
Abil/Name/CAbilAttackModifier,=10
Abil/Name/CAbilAugment,預設技能_增強 /// CAbilAugment=11
Abil/Name/CAbilBattery,預設技能（CAbilBattery） /// Default Ability (CAbilBattery)=12
Abil/Name/CAbilBeacon,預設技能_信標 /// CAbilBeacon=13
Abil/Name/CAbilBehavior,預設技能（CAbilBehavior） /// Default Ability (CAbilBehavior)=14
Abil/Name/CAbilBuild,預設技能（CAbilBuild） /// Default Ability (CAbilBuild)=15
Abil/Name/CAbilBuildable,預設技能（CAbilBuildable） /// Default Ability (CAbilBuildable)=16
Abil/Name/CAbilEffect,預設技能（CAbilEffect） /// Default Ability (CAbilEffect)=17
Abil/Name/CAbilEffectInstant,預設技能（CAbilEffectInstant） /// Default Ability (CAbilEffectInstant)=18
Abil/Name/CAbilEffectTarget,預設技能（CAbilEffectTarget） /// Default Ability (CAbilEffectTarget)=19
Abil/Name/CAbilHarvest,預設技能（CAbilHarvest） /// Default Ability (CAbilHarvest)=20
Abil/Name/CAbilHeal,預設技能（CAbilHeal） /// Default Ability (CAbilHeal)=21
Abil/Name/CAbilInteract,預設技能_互動 /// CAbilInteract=22
Abil/Name/CAbilInventory,預設技能（CAbilInventory） /// Default Ability (CAbilInventory)=23
Abil/Name/CAbilLearn,預設技能_學習 /// CAbilLearn=24
Abil/Name/CAbilMerge,預設技能（CAbilMerge） /// Default Ability (CAbilMerge)=25
Abil/Name/CAbilMergeable,預設技能（CAbilMergeable） /// Default Ability (CAbilMergeable)=26
Abil/Name/CAbilMorph,預設技能（CAbilMorph） /// Default Ability (CAbilMorph)=27
Abil/Name/CAbilMorphPlacement,預設技能（CAbilMorphPlacement） /// Default Ability (CAbilMorphPlacement)=28
Abil/Name/CAbilMove,預設技能（CAbilMove） /// Default Ability (CAbilMove)=29
Abil/Name/CAbilPawn,預設技能_生成 /// CAbilPawn=30
Abil/Name/CAbilProgress,預設技能_進度 /// CAbilProgress=31
Abil/Name/CAbilQueue,預設技能（CAbilQueue） /// Default Ability (CAbilQueue)=32
Abil/Name/CAbilQueueable,預設技能（CAbilQueueable） /// Default Ability (CAbilQueueable)=33
Abil/Name/CAbilRally,預設技能（CAbilRally） /// Default Ability (CAbilRally)=34
Abil/Name/CAbilRedirect,預設技能_重新導向 /// CAbilRedirect=35
Abil/Name/CAbilResearch,預設技能（CAbilResearch） /// Default Ability (CAbilResearch)=36
Abil/Name/CAbilRevive,預設技能_復活 /// CAbilRevive=37
Abil/Name/CAbilSpecialize,預設技能（CAbilSpecialize） /// Default Ability (CAbilSpecialize)=38
Abil/Name/CAbilStop,預設技能（CAbilStop） /// Default Ability (CAbilStop)=39
Abil/Name/CAbilTrain,預設技能（CAbilTrain） /// Default Ability (CAbilTrain)=40
Abil/Name/CAbilTransport,預設技能（CAbilTransport） /// Default Ability (CAbilTransport)=41
Abil/Name/CAbilWarpTrain,預設技能（CAbilWarpTrain） /// Default Ability (CAbilWarpTrain)=42
Abil/Name/CAbilWarpable,預設技能（CAbilWarpable） /// Default Ability (CAbilWarpable)=43
Abil/Name/HoldFire,停火 /// Hold Fire=44
Abil/Name/ReviveSelf,自我復活 /// Revive Self=45
Abil/Name/ReviveSelfAtTarget,在目標自我復活 /// Revive Self At Target=46
Abil/Name/ReviveSelfOnCreep,在蟲苔自我復活 /// Revive Self On Creep=47
Abil/Name/ReviveSelfReplaceTarget,自我復活替換目標 /// Revive Self Replace Target=48
Abil/Name/Taunt,嘲諷 /// Taunt=49
Abil/Name/move,移動 /// Move=50
Abil/Name/stop,停止 /// Stop=51
Achievement/Category/Challenge,挑戰模式 /// Challenges=52
Achievement/Category/Combat,戰鬥模式 /// Combat=53
Achievement/Category/Exploration,探索 /// Exploration=54
Achievement/Category/QuickMatch,快速對戰 /// Quick Match=55
Achievement/Category/Skirmish,衝突戰模式 /// Skirmish=56
Achievement/Name/CAMPAIGN,劇情戰役 /// CAMPAIGN=57
Achievement/Name/CAchievement,預設成就 /// CAchievement=58
Achievement/Name/CHALLENGE,挑戰模式 /// CHALLENGE=59
Achievement/Name/COMBAT,戰鬥模式 /// COMBAT=60
Achievement/Name/EXPLORATION,探索 /// EXPLORATION=61
Achievement/Name/QUICKMATCH,快速對戰 /// QUICKMATCH=62
AchievementTerm/Name/CAchievementTerm,預設成就條件 /// CAchievementTerm=63
AchievementTerm/Name/CAchievementTermAchievement,預設成就條件 - 成就 /// CAchievementTermAchievement=64
AchievementTerm/Name/CAchievementTermGeneric,預設成就條件 - 一般 /// CAchievementTermGeneric=65
AchievementTerm/Name/CAchievementTermTime,預設成就條件 - 時間 /// CAchievementTermTime=66
ActorCheat/ActorDiedNormally,動作者在被創造的過程中正常死亡。 /// Actor died normally during creation.=67
ActorCheat/ActorInfoDisplayOff,關閉動作者資訊顯示。 /// Actor info display off.=68
ActorCheat/ActorInfoDisplayOn,開啟動作者資訊顯示。 /// Actor info display on.=69
ActorCheat/ActorInfoDisplayPortraitsOff,關閉頭像的動作者資訊顯示。 /// Actor info display for portraits off.=70
ActorCheat/ActorInfoDisplayPortraitsOn,開啟頭像的動作者資訊顯示。 /// Actor info display for portraits on.=71
ActorCheat/ActorNameRequired,需要動作者的名稱。 /// Actor name required.=72
ActorCheat/CannotKillScopeFromCheat,無法用作弊碼消除此範圍。 /// Cannot kill this scope from a cheat.=73
ActorCheat/CannotOrphanScopeFromCheat,無法用作弊碼遺棄此範圍。 /// Cannot orphan this scope from a cheat.=74
ActorCheat/CouldNotCreateActor,無法創建動作者。 /// Could not create actor.=75
ActorCheat/CouldNotCreateScope,無法創建動範圍。 /// Could not create scope.=76
ActorCheat/CouldNotResolveActor,無法解析動作者。 /// Could not resolve actor.=77
ActorCheat/CouldNotReturnActor,無法返回動作者。 /// Could not return actor.=78
ActorCheat/CouldNotReturnActorScope,無法返回動作者範圍。 /// Could not return actor scope.=79
ActorCheat/ExpectedOverlayLock,需以0或1切換重疊鎖定。 /// Expected 0 or 1 to toggle overlay lock.=80
ActorCheat/ExpectedSendAutoTargeting,需以0或1切換傳送自動鎖定。 /// Expected 0 or 1 to toggle send auto-targeting.=81
ActorCheat/FXAnimator,特效動畫器 /// FX Animator=82
ActorCheat/HasNoParameters,沒有參數。 /// Has no parameters.=83
ActorCheat/InvalidCatalog,無效的目錄。 /// Invalid catalog.=84
ActorCheat/InvalidKey,無效的機碼。 /// Invalid key.=85
ActorCheat/InvalidMessage,無效的訊息。 /// Invalid message.=86
ActorCheat/InvalidOlderThanAge,無效的'older than'年齡 /// Invalid 'older than' age.=87
ActorCheat/ModelWithoutActor,沒有模型的動作者 /// MODEL W/O ACTOR=88
ActorCheat/NoUserActor,沒有：：使用者的動作者。 /// No ::User actor.=89
ActorCheat/NoUserActorScope,沒有：：使用者的動作者範圍。 /// No ::User actor scope.=90
ActorCheat/ParametersRequired,需要參數。 /// Parameters required.=91
ActorCheat/PrimaryNameRequired,需要主要的名稱。 /// Primary name required.=92
ActorCheat/RefNameHasNoValidActor,參照名[%1]無法返回有效的動作者。 /// RefName[%1] did not return a valid actor.=93
ActorCheat/RequiresGameScene,這個指令目前僅能生效於遊戲場景。 /// This command is not currently supported outside of the game scene.=94
ActorCheat/ScopeNameRequired,需要範圍名稱。 /// Scope name required.=95
ActorCheat/StandaloneModel,獨立的模型 /// Standalone Model=96
ActorCheat/TargetNameRequired,需要目標名稱。 /// Target name required.=97
ActorCheat/TracingDisabled,為%1關閉追蹤。 /// Tracing disabled for %1.=98
ActorCheat/TracingEnabled,為%1開啟追蹤。 /// Tracing enabled for %1.=99
ActorCheat/UnknownActorClass,不明的動作者級別[%1]。 /// Unknown actor class [%1].=100
ActorCheat/UnknownCommand,不明的指令。 /// Unknown command.=101
ActorCheat/UserActorSetTo,：：使用者的動作者設定為%1。 /// ::User actor set to %1.=102
ActorCheat/UserScopeSetTo,：：使用者的範圍設定為%1。 /// ::User scope set to %1.=103
ActorCheat/XYPositionRequired,需要x和y的位置。 /// x, y position required.=104
ActorDebug/ActionDamageMsgMustBeSentFromEffectMsg,必須發送「ActionDamage動作傷害」訊息回應「特效」訊息，以決定傷害的目標。問題：%1。=105
ActorDebug/ActorNot,並非%1。=106
ActorDebug/ActorScopeCannotBeKilledByUser,無法用使用者代碼直接刪除動作者範圍。=107
ActorDebug/ActorScopeCannotBeOrphanedByUser,無法用使用者代碼直接孤立動作者範圍。=108
ActorDebug/ActorTraceActor,動作者的蹤跡[A]：%1。%2=109
ActorDebug/ActorTraceMsg,動作者的蹤跡[M]：%1=110
ActorDebug/ActorTraceScope,動作者的蹤跡[S]：%1=111
ActorDebug/AnimClearAllButNeedsName,AnimClearAllBut 需要一個animName。=112
ActorDebug/AnimContinueNotForBaselines,無法在基準線動畫使用AnimContinue訊息。=113
ActorDebug/AnimContinueRequiresPreexistingAnim,AnimContinue需要有對應名稱（本例中為%1）的動畫才能於送出時播放，這樣才有動畫可以繼續！=114
ActorDebug/AnimContinueRequiresValidAnimName,AnimContinue需要對應模型上執行中動畫的有效動畫名稱。=115
ActorDebug/AnimHookClearInvalidName,找不到動畫連結[%1]。=116
ActorDebug/AnimHookClearUnavailable,沒有動畫連結可清除。=117
ActorDebug/AnimHookNameConflict,%1已用於動畫連結，無法使用。=118
ActorDebug/AnimHookNone,沒有動畫連結。=119
ActorDebug/AnimHookRefreshActorConflict,動畫連結[%1]已重置並取得非CActorModel或其子類別的動作者。結果導致此動畫連結已清除。=120
ActorDebug/AnimHookSelfNotAllowed,無法在同一個動作者上連結動畫。=121
ActorDebug/AnimHookSetActorConflict,無法從非CActorModel或其子類別的動作者上連結動畫。=122
