Actor/EditorSuffix/GuideVisualQuadSplat,(Deprecated)=0
Actor/EditorSuffix/GuideVisualQuadSplatCenter,(Deprecated)=1
Actor/EditorSuffix/GuideVisualQuadSplatDown,(Deprecated)=2
Actor/EditorSuffix/GuideVisualQuadSplatDownClosest,(Deprecated)=3
Actor/EditorSuffix/GuideVisualQuadSplatDownDetached,(Deprecated)=4
Actor/EditorSuffix/GuideVisualQuadSplatDownScaled,(Deprecated)=5
Actor/EditorSuffix/GuideVisualQuadSplatDownScaledClosest,(Deprecated)=6
Actor/EditorSuffix/GuideVisualQuadSplatImpact,(Deprecated)=7
Actor/EditorSuffix/GuideVisualQuadSplatLaunch,(Deprecated)=8
Actor/EditorSuffix/GuideVisualQuadSplatModel,(Deprecated)=9
Actor/EditorSuffix/GuideVisualQuadSplatPerpendicular,(Deprecated)=10
Actor/Name/ActorLightOmni,ActorLightOmni=11
Actor/Name/ActorLightSpot,ActorLightSpot=12
Actor/Name/ActorShapeCone,ActorShapeCone=13
Actor/Name/ActorShapeSphere,ActorShapeSphere=14
Actor/Name/AoEAttack,AoEAttack=15
Actor/Name/AoEAttackBase,AoEAttackBase=16
Actor/Name/AoEAttackDamageSite,AoEAttackDamageSite=17
Actor/Name/AoEAttackShieldHitter,AoEAttackShieldHitter=18
Actor/Name/AoESplashShieldHitter,AoESplashShieldHitter=19
Actor/Name/Axis,Axis=20
Actor/Name/Beacon,Beacon=21
Actor/Name/BeaconArmy,Beacon Army=22
Actor/Name/BeaconAttack,Beacon Attack=23
Actor/Name/BeaconAuto,Beacon Auto=24
Actor/Name/BeaconClaim,Beacon Claim=25
Actor/Name/BeaconCustom1,Beacon Custom1=26
Actor/Name/BeaconCustom2,Beacon Custom2=27
Actor/Name/BeaconCustom3,Beacon Custom3=28
Actor/Name/BeaconCustom4,Beacon Custom4=29
Actor/Name/BeaconDefend,Beacon Defend=30
Actor/Name/BeaconDetect,Beacon Detect=31
Actor/Name/BeaconExpand,Beacon Expand=32
Actor/Name/BeaconHarass,Beacon Harass=33
Actor/Name/BeaconIdle,Beacon Idle=34
Actor/Name/BeaconRally,Beacon Rally=35
Actor/Name/BeaconScout,Beacon Scout=36
Actor/Name/Beacon_Protoss,Beacon_Protoss=37
Actor/Name/Beacon_ProtossSmall,Beacon_ProtossSmall=38
Actor/Name/Beacon_Terran,Beacon_Terran=39
Actor/Name/Beacon_TerranSmall,Beacon_TerranSmall=40
Actor/Name/Beacon_Zerg,Beacon_Zerg=41
Actor/Name/Beacon_ZergSmall,Beacon_ZergSmall=42
Actor/Name/Beam,Beam=43
Actor/Name/BeamAnimationStyleContinuous,BeamAnimationStyleContinuous=44
Actor/Name/BeamAnimationStyleOneShot,BeamAnimationStyleOneShot=45
Actor/Name/BeamSimple,Beam Simple=46
Actor/Name/BeamSimpleAnimationStyleContinuous,Beam Simple Animation Style Continuous=47
Actor/Name/BeamSimpleAnimationStyleContinuousClosingFull,BeamSimpleAnimationStyleContinuousClosingFull=48
Actor/Name/BeamSimpleAnimationStyleOneShot,Beam Simple Animation Style One Shot=49
Actor/Name/BeamStandard,Beam Standard=50
Actor/Name/BeamStandardAnimationStyleContinuous,Beam Standard Animation Style Continuous=51
Actor/Name/BeamStandardAnimationStyleOneShot,Beam Standard Animation Style One Shot=52
Actor/Name/BlipVisual,BlipVisual=53
Actor/Name/BuffContinuous,BuffContinuous=54
Actor/Name/BuffOneShot,BuffOneShot=55
Actor/Name/BuildingFlattenTerrainMacro,Building Flatten Terrain Macro=56
Actor/Name/BuildingTerrainFlatten,Building Terrain Flatten=57
Actor/Name/BuildingTerrainFlattenEditor,Building Terrain Flatten Editor=58
Actor/Name/BuildingTerrainFlattenInstant,Building Terrain Flatten Instant=59
Actor/Name/BurrowedSplat,BurrowedSplat=60
Actor/Name/BurrowedSplatBase,BurrowedSplatBase=61
Actor/Name/CActor,CActor=62
Actor/Name/CActorArc,CActorArc=63
Actor/Name/CActorBase,CActorBase=64
Actor/Name/CActorBeam,CActorBeam=65
Actor/Name/CActorBeamStandard,CActorBeamStandard=66
Actor/Name/CActorBearings,CActorBearings=67
Actor/Name/CActorCamera,CActorCamera=68
Actor/Name/CActorDoodad,CActorDoodad=69
Actor/Name/CActorForce,CActorForce=70
Actor/Name/CActorForceSphere,CActor Force Sphere=71
Actor/Name/CActorLightModel,CActorLightModel=72
Actor/Name/CActorLightOmni,CActorLightOmni=73
Actor/Name/CActorLightSpot,CActorLightSpot=74
Actor/Name/CActorLookAt,CActorLookAt=75
Actor/Name/CActorModel,CActorModel=76
Actor/Name/CActorPortrait,CActorPortrait=77
Actor/Name/CActorPower,CActorPower=78
Actor/Name/CActorProgress,CActorProgress=79
Actor/Name/CActorQuad,CActorQuad=80
Actor/Name/CActorRange,CActorRange=81
Actor/Name/CActorSelection,CActorSelection=82
Actor/Name/CActorSetQueried,CActorSetQueried=83
Actor/Name/CActorShadow,CActorShadow=84
Actor/Name/CActorShieldImpact,CActorShieldImpact=85
Actor/Name/CActorSite,CActorSite=86
Actor/Name/CActorSiteHosted,CActorSiteHosted=87
Actor/Name/CActorSiteOpAttach,CActorSiteOpAttach=88
Actor/Name/CActorSiteOpBankerUnit,CActorSiteOpBankerUnit=89
Actor/Name/CActorSiteOpRandomPointInCircle,CActorSiteOpRandomPointInCircle=90
Actor/Name/CActorSound,CActorSound=91
Actor/Name/CActorSplat,CActorSplat=92
Actor/Name/CActorSquib,CActorSquib=93
Actor/Name/CActorStateMonitor,CActorStateMonitor=94
Actor/Name/CActorTerrainDeformer,CActorTerrainDeformer=95
Actor/Name/CActorText,CActorText=96
Actor/Name/CActorTurret,CActorTurret=97
Actor/Name/CActorUnit,CActorUnit=98
Actor/Name/CameraTest,Camera Test=99
Actor/Name/CliffLocalFlashingSelection,Cliff Local Flashing Selection=100
Actor/Name/CliffLocalSelection,CliffLocalSelection=101
Actor/Name/CliffPreSelection,CliffPreSelection=102
Actor/Name/CliffSyncFlashingSelection,Cliff Sync Flashing Selection=103
Actor/Name/CliffSyncSelection,CliffSyncSelection=104
Actor/Name/CommandUIHarness,CommandUIHarness=105
Actor/Name/Confirmation,Confirmation=106
Actor/Name/ConfirmationLocalAir,ConfirmationLocalAir=107
Actor/Name/ConfirmationLocalAirAttack,Confirmation Local Air Attack=108
Actor/Name/ConfirmationLocalGround,ConfirmationLocalGround=109
Actor/Name/ConfirmationLocalGroundAttack,Confirmation Local Ground Attack=110
Actor/Name/ConfirmationSyncAir,ConfirmationSyncAir=111
Actor/Name/ConfirmationSyncAirAttack,Confirmation Sync Air Attack=112
Actor/Name/ConfirmationSyncGround,ConfirmationSyncGround=113
Actor/Name/ConfirmationSyncGroundAttack,Confirmation Sync Ground Attack=114
Actor/Name/CursorModel,Cursor Model=115
Actor/Name/CursorRegion,Cursor Region=116
Actor/Name/CursorSplat,Cursor Splat=117
Actor/Name/CutsceneCameraModel,Cutscene Camera Model=118
Actor/Name/CutsceneLightOmniModel,Cutscene Light Omni Model=119
Actor/Name/CutsceneLightSpotModel,Cutscene Light Spot Model=120
Actor/Name/DeadAnimationMacro,DeadAnimationMacro=121
Actor/Name/DeadAnimationRemoveMacro,Dead Animation Remove Macro=122
Actor/Name/DestructibleUnitStandard,DestructibleUnitStandard=123
Actor/Name/DoodadDeathMacro,Doodad Death Macro=124
Actor/Name/DoodadDeathMacroB,Doodad Death Macro =125
Actor/Name/EditorCamera,EditorCamera=126
Actor/Name/EditorHelper,Editor Helper=127
Actor/Name/EditorSelection,Editor Selection=128
Actor/Name/EditorUnitOverheadText,Editor Unit Overhead Text=129
Actor/Name/EventCustom,Event Custom=130
Actor/Name/EventFootprint,Event Footprint=131
Actor/Name/EventSound,EventSound=132
Actor/Name/EventSoundFromData,Event Sound From Data=133
Actor/Name/EventSpawn,EventSpawn=134
Actor/Name/EventSplat,EventSplat=135
Actor/Name/ExplosionAttackDeathImpulse,Explosion Attack Death Impulse=136
Actor/Name/ExplosionAttackForce,Explosion Attack Force=137
Actor/Name/ExplosiveRangedAttackDeathForce,Explosive Ranged Attack Death Force=138
Actor/Name/ExplosiveRangedAttackDeathImpulse,Explosive Ranged Attack Death Impulse=139
Actor/Name/FlashingSelection,FlashingSelection=140
Actor/Name/FlyerHelperBeam,Flyer Helper Beam=141
Actor/Name/FlyerHelperSplat,Flyer Helper Splat=142
Actor/Name/FlyerLocalSelection,FlyerLocalSelection=143
Actor/Name/FlyerPreSelection,FlyerPreSelection=144
Actor/Name/FlyerShadow,FlyerShadow=145
Actor/Name/FlyerSyncSelection,FlyerSyncSelection=146
Actor/Name/FoliageFXDefault,Foliage FXDefault=147
Actor/Name/FoliageFXSpawnerDefault,Foliage FXSpawner Default=148
Actor/Name/GenericAttack,GenericAttack=149
Actor/Name/GenericAttackBase,GenericAttackBase=150
Actor/Name/GenericAttackBeam,GenericAttackBeam=151
Actor/Name/GenericAttackDamageModel,Generic Attack Damage Model=152
Actor/Name/GenericAttackDamageModelReaction,Generic Attack Damage Model Reaction=153
Actor/Name/GenericAttackDamageSite,GenericAttackDamageSite=154
Actor/Name/GenericAttackDamageSound,Generic Attack Damage Sound=155
Actor/Name/GenericAttackDamageTerrainSquibModel,Generic Attack Damage Terrain Squib Model=156
Actor/Name/GenericAttackDamageTerrainSquibSound,Generic Attack Damage Terrain Squib Sound=157
Actor/Name/GenericAttackImpactFallbackSite,Generic Attack Impact Fallback Site=158
Actor/Name/GenericAttackImpactModel,Generic Attack Impact Model=159
Actor/Name/GenericAttackImpactModelReaction,Generic Attack Impact Model Reaction=160
Actor/Name/GenericAttackImpactMonitor,GenericAttackImpactMonitor=161
Actor/Name/GenericAttackImpactPointSite,Generic Attack Impact Point Site=162
Actor/Name/GenericAttackImpactSite,GenericAttackImpactSite=163
Actor/Name/GenericAttackImpactSiteBase,GenericAttackImpactSiteBase=164
Actor/Name/GenericAttackImpactSiteFacer,GenericAttackImpactSiteFacer=165
Actor/Name/GenericAttackImpactSiteHeader,GenericAttackImpactSiteHeader=166
Actor/Name/GenericAttackImpactSitePoint,GenericAttackImpactSitePoint=167
Actor/Name/GenericAttackImpactSiteStander,GenericAttackImpactSiteStander=168
Actor/Name/GenericAttackImpactSound,Generic Attack Impact Sound=169
Actor/Name/GenericAttackImpactTerrainSquibModel,Generic Attack Impact Terrain Squib Model=170
Actor/Name/GenericAttackImpactTerrainSquibSound,Generic Attack Impact Terrain Squib Sound=171
Actor/Name/GenericAttackLaunchFallbackSite,GenericAttackLaunchFallbackSite=172
Actor/Name/GenericAttackLaunchModel,Generic Attack Launch Model=173
Actor/Name/GenericAttackLaunchSite,GenericAttackLaunchSite=174
Actor/Name/GenericAttackLaunchSiteFacer,GenericAttackLaunchSiteFacer=175
Actor/Name/GenericAttackLaunchSound,Generic Attack Launch Sound=176
Actor/Name/GenericAttackLaunchTerrainSquibModel,Generic Attack Launch Terrain Squib Model=177
Actor/Name/GenericAttackLaunchTerrainSquibSound,Generic Attack Launch Terrain Squib Sound=178
Actor/Name/GenericAttackMissile,GenericAttackMissile=179
Actor/Name/GenericAttackMissileWithDeathAnim,GenericAttackMissileWithDeathAnim=180
Actor/Name/GenericAttackModel,GenericAttackModel=181
Actor/Name/GenericAttackNoCreateBase,Generic Attack No Create Base=182
Actor/Name/GenericAttackSet,GenericAttackSet=183
Actor/Name/GenericAttackSound,GenericAttackSound=184
Actor/Name/GenericPhysicsDriver,GenericPhysicsDriver=185
Actor/Name/GenericPhysicsHarness,GenericPhysicsHarness=186
Actor/Name/GenericTentacleMissile,Generic Tentacle Missile=187
Actor/Name/GenericUnitBase,GenericUnitBase=188
Actor/Name/GenericUnitBaseMorphTransition,GenericUnitBaseMorphTransition=189
